sequenceID	source.name	species	serotype	coverage_category	length
AF028705	ncbi-nuccore-aav	Primate1	AAV3	full_genome	4722
AX135805	ncbi-nuccore-aav	Primate1	AAV2	full_genome	4675
AX282480	ncbi-nuccore-aav	Primate1	AAV2	full_genome	4679
AX286292	ncbi-nuccore-aav	Primate1	AAV2	full_genome	4675
AX753246	ncbi-nuccore-aav	Primate1	AAV7	full_genome	4721
AX753249	ncbi-nuccore-aav	Primate1	AAV8	full_genome	4393
AX753251	ncbi-nuccore-aav	Primate1	AAV1	full_genome	4718
AX753252	ncbi-nuccore-aav	Primate1	AAV2	full_genome	4675
AX753253	ncbi-nuccore-aav	Primate1	AAV3	full_genome	4726
AY695371	ncbi-nuccore-aav	Primate1	-	full_genome	4429
AY695372	ncbi-nuccore-aav	Primate1	-	full_genome	4429
AY695373	ncbi-nuccore-aav	Primate1	-	full_genome	4429
AY695374	ncbi-nuccore-aav	Primate1	-	full_genome	4430
AY695375	ncbi-nuccore-aav	Primate1	-	full_genome	4429
AY695376	ncbi-nuccore-aav	Primate1	-	full_genome	4430
BD094552	ncbi-nuccore-aav	Primate1	AAV2	full_genome	4675
BD393207	ncbi-nuccore-aav	Primate1	AAV2	full_genome	4679
BD405233	ncbi-nuccore-aav	Primate1	AAV2	full_genome	4675
CQ972062	ncbi-nuccore-aav	Primate1	AAV7	full_genome	4721
CQ972063	ncbi-nuccore-aav	Primate1	AAV8	full_genome	4393
CS435814	ncbi-nuccore-aav	Primate1	AAV2	full_genome	4679
DI006503	ncbi-nuccore-aav	Primate1	AAV2	full_genome	4675
DI392350	ncbi-nuccore-aav	Primate1	AAV2	full_genome	4679
DI393761	ncbi-nuccore-aav	Primate1	AAV1	full_genome	4718
DI393762	ncbi-nuccore-aav	Primate1	AAV3	full_genome	4726
DI393763	ncbi-nuccore-aav	Primate1	AAV4	full_genome	4767
DI393764	ncbi-nuccore-aav	Mammalian1	AAV5	full_genome	4642
EU285562	ncbi-nuccore-aav	Primate1	-	full_genome	4180
FB292908	ncbi-nuccore-aav	Primate1	AAV1	full_genome	4718
FB292925	ncbi-nuccore-aav	Primate1	AAV2	full_genome	4681
FB292926	ncbi-nuccore-aav	Primate1	-	full_genome	4683
FW506001	ncbi-nuccore-aav	Primate1	AAV2	full_genome	4680
HW580763	ncbi-nuccore-aav	Primate1	AAV2	full_genome	4679
HW608043	ncbi-nuccore-aav	Primate1	AAV1	full_genome	4718
HW608044	ncbi-nuccore-aav	Primate1	AAV3	full_genome	4726
HW608045	ncbi-nuccore-aav	Primate1	AAV4	full_genome	4767
HW608046	ncbi-nuccore-aav	Mammalian1	AAV5	full_genome	4642
HW917028	ncbi-nuccore-aav	Mammalian1	AAV5	full_genome	4404
HW917029	ncbi-nuccore-aav	Primate1	AAV8	full_genome	4393
J01901	ncbi-nuccore-aav	Primate1	AAV2	full_genome	4675
JA062738	ncbi-nuccore-aav	Primate1	-	full_genome	3161
JA062739	ncbi-nuccore-aav	-	-	full_genome	3162
JA062740	ncbi-nuccore-aav	-	-	full_genome	3164
JA062741	ncbi-nuccore-aav	Primate1	-	full_genome	3159
JA062742	ncbi-nuccore-aav	Primate1	-	full_genome	3156
JA062743	ncbi-nuccore-aav	Primate1	-	full_genome	3158
JA062744	ncbi-nuccore-aav	-	-	full_genome	3167
JA062745	ncbi-nuccore-aav	-	-	full_genome	3161
JA062746	ncbi-nuccore-aav	Primate1	AAV10	full_genome	3172
JA062747	ncbi-nuccore-aav	Primate1	-	full_genome	3159
JA062748	ncbi-nuccore-aav	Primate1	AAV10	full_genome	3172
JA062749	ncbi-nuccore-aav	Primate1	-	full_genome	3160
JA062750	ncbi-nuccore-aav	Primate1	-	full_genome	3157
JA062751	ncbi-nuccore-aav	Primate1	-	full_genome	3163
JA062752	ncbi-nuccore-aav	-	-	full_genome	3161
JA062753	ncbi-nuccore-aav	Primate1	AAV7	full_genome	4721
JA062755	ncbi-nuccore-aav	Primate1	AAV8	full_genome	4393
JA231989	ncbi-nuccore-aav	Primate1	-	full_genome	3161
JA231990	ncbi-nuccore-aav	-	-	full_genome	3162
JA231991	ncbi-nuccore-aav	-	-	full_genome	3164
JA231992	ncbi-nuccore-aav	Primate1	-	full_genome	3159
JA231993	ncbi-nuccore-aav	Primate1	-	full_genome	3156
JA231994	ncbi-nuccore-aav	Primate1	-	full_genome	3158
JA231995	ncbi-nuccore-aav	-	-	full_genome	3167
JA231996	ncbi-nuccore-aav	-	-	full_genome	3161
JA231997	ncbi-nuccore-aav	Primate1	AAV10	full_genome	3172
JA231998	ncbi-nuccore-aav	Primate1	-	full_genome	3159
JA231999	ncbi-nuccore-aav	Primate1	AAV10	full_genome	3172
JA232000	ncbi-nuccore-aav	Primate1	-	full_genome	3160
JA232001	ncbi-nuccore-aav	Primate1	-	full_genome	3157
JA232002	ncbi-nuccore-aav	Primate1	-	full_genome	3163
JA232003	ncbi-nuccore-aav	-	-	full_genome	3161
JA232004	ncbi-nuccore-aav	Primate1	AAV7	full_genome	4721
JA232006	ncbi-nuccore-aav	Primate1	AAV8	full_genome	4393
JA232225	ncbi-nuccore-aav	Primate1	-	full_genome	3161
JA232226	ncbi-nuccore-aav	-	-	full_genome	3162
JA232227	ncbi-nuccore-aav	-	-	full_genome	3164
JA232228	ncbi-nuccore-aav	Primate1	-	full_genome	3159
JA232229	ncbi-nuccore-aav	Primate1	-	full_genome	3156
JA232230	ncbi-nuccore-aav	Primate1	-	full_genome	3158
JA232231	ncbi-nuccore-aav	-	-	full_genome	3167
JA232232	ncbi-nuccore-aav	-	-	full_genome	3161
JA232233	ncbi-nuccore-aav	Primate1	AAV10	full_genome	3172
JA232234	ncbi-nuccore-aav	Primate1	-	full_genome	3159
JA232235	ncbi-nuccore-aav	Primate1	AAV10	full_genome	3172
JA232236	ncbi-nuccore-aav	Primate1	-	full_genome	3160
